Item_Id,Playtime_Forever_Hours,Year_Launch,Genres
42980,276,2010,"Strategy,  Grand Strategy, Historical"
42990,1940,2012,"Turn-Based, Tactical, Space, Sci-fi, Singleplayer, 4X, Strategy, Multiplayer, Turn-Based Strategy"
43000,1324,2010,"Shooter, Third Person, Third-Person Shooter, Sci-fi, Action"
43100,432,2009,"Family Friendly, Simulation"
43190,579,2011,"Multiplayer, Horror, Shooter, Zombies, Co-op, Third-Person Shooter,  Action, Indie, Gore"
43500,155,2010,"Strategy, Simulation, Management"
43600,33,2010,"Female Protagonist, Mystery, Point & Click, Adventure, Puzzle"
44100,143,2010,"Action, Racing, Indie"
44200,376,2010,"Space, Sci-fi, Casual, Singleplayer, RTS, Strategy, Multiplayer, Indie"
44340,2319,2011,"Realistic, Multiplayer, Shooter, War, Tactical, Co-op, Simulation, Singleplayer, Military, FPS, Open World, First-Person, Strategy, Action"
44350,23031,2013,"Realistic, Local Co-Op, Action, Sports, Racing,  Driving, Co-op, Simulation, Singleplayer, First-Person, Open World, Casual, Controller, Arcade, Multiplayer, Local Multiplayer"
44360,1492,2011,"Simulation, Multiplayer, Racing, Sports"
44600,57,2012,"Simulation, Racing, Sports"
44620,1272,2011,"Simulation, Racing"
44650,1266,2011,"Simulation, Racing"
44660,1265,2011,"Simulation, Racing"
44670,1265,2011,"Simulation, Racing"
44690,145,2005,"Simulation, Racing, Sports"
45000,2291,2010,"Co-op, Tower Defense, Sci-fi, Singleplayer, Strategy, Multiplayer, Indie"
45100,2938,2010,"Fantasy, Illuminati, Cute, Magic, Family Friendly, Simulation, Casual,  Singleplayer, Open World, Adventure, Indie"
45300,4217,2009,"Action, Flight, Historical, Simulation, Singleplayer, TrackIR, Multiplayer, I"
45400,1021,2010,"2D, Fantasy,  Casual, Singleplayer, Arcade, Strategy, Puzzle, Indie"
45410,270,2011,Racing
45450,752,2011,"2D, Action, Casual, Singleplayer, Arcade, Strategy, Puzzle, Indie"
45500,496,2010,"Multiplayer,  Puzzle, Casual, Fast-Paced, Indie"
45700,5210,2008,"Fantasy, RPG, Difficult, Story Rich, Third Person, Great Soundtrack, Beat em up,  Singleplayer, Controller, Stylized,  Adventure, Action, Hack and Slash, Atmospheric"
45710,126,2010,"Flight, Third Person, Third-Person Shooter, Sci-fi, Adventure, Action"
45720,174,2010,"Adventure, Action, Third-Person Shooter"
45730,66,2010,"2D, Platformer, Retro, Great Soundtrack, Singleplayer, Adventure, Action"
45740,14842,2010,"Horror, Multiplayer, RPG, Online Co-Op,  Character Customization, Open World, Comedy, Survival, Gore, Crafting, Multiple Endings, Singleplayer, Sandbox, Funny, Third Person, Zombies, Co-op, Adventure, Action"
45750,2295,2010,"Multiplayer,  Shooter, Third Person, Online Co-Op, Co-op, Character Customization, Third-Person Shooter, Sci-fi, Singleplayer, Adventure, Action, Cult Classic, Aliens"
45760,58496,2014,"2D, Multiplayer, Local Multiplayer, Local Co-Op, Beat em up,  Controller, Arcade, 2D Fighter,  Difficult, Great Soundtrack, Fighting, Singleplayer, Classic,  Anime, Competitive, Adventure, Action"
45770,5806,2011,"Survival Horror, Funny, Horror, Third Person, Online Co-Op, Zombies, Great Soundtrack, Co-op, Singleplayer, Open World, Comedy, Adventure, Action, Sandbox, Atmospheric, Gore"
46000,217,2010,"Adventure, Puzzle, Physics, Indie"
46200,19,2010,"Action, Racing"
46250,147,2010,"Horror,  Zombies, FPS, Action"
46260,815,2010,"RPG, Tactical, Space, Sci-fi, Strategy"
46270,112,2010,"RPG, Strategy, Space, Sci-fi"
46280,93,2010,"RPG, Strategy, Space"
46290,199,2007,"War,  RTS, Strategy, Multiplayer, I"
46340,292,2009,"RTS, Strategy, Simulation, I"
46350,31,2010,"RTS, Strategy, Medieval, Historical"
46360,170,2010,"Strategy, Simulation, I"
46370,317,2010,"Driving, Simulation, Singleplayer"
46380,80,2010,"Strategy, Medieval"
46400,286,2010,"RPG, Action RPG, Co-op, Sci-fi, Singleplayer, Isometric, Action, Indie"
46410,429,2010,"RPG, Fantasy, Story Rich, Action RPG, Magic, Singleplayer, Adventure, Action, Hack and Slash, Indie, Atmospheric"
46440,190,2010,"Turn-Based, Singleplayer, Indie, Strategy, Multiplayer, Turn-Based Strategy"
46450,765,2010,"Casual, Turn-Based Strategy, RPG, Party-Based RPG, Dungeon Crawler, Comedy, Fantasy,  , Adventure, Singleplayer, Anime, Funny, JRPG, Strategy, Tactical, Turn-Based, Indie, Turn-Based Tactics"
46480,368,2005,"Detective,  Female Protagonist, Horror,  Mystery, Point & Click, Singleplayer, Adventure, Puzzle"
46490,158,2009,"Detective, Female Protagonist, Horror,  Mystery, Point & Click, Singleplayer, Adventure, Puzzle"
46500,1119,2002,"Story Rich, Female Protagonist, Steampunk, Third Person, Great Soundtrack, Mystery, Point & Click, Singleplayer, Casual, Classic, Adventure, Puzzle, Atmospheric"
46510,536,2004,"Story Rich, Female Protagonist, Steampunk, Great Soundtrack, Mystery, Point & Click, Singleplayer, Classic, Adventure, Puzzle, Atmospheric"
46520,130,2011,"Post-apocalyptic, Female Protagonist, Shooter, Arcade, Action, Indie"
46540,775,2011,"Zombies, Adventure, Co-op, Tactical, Strategy, Action"
46550,1295,2002,"Detective,  Horror, Dark, Mystery, Point & Click, First-Person, Choices Matter, Adventure, Puzzle, Atmospheric"
46560,1388,2002,"RPG, Medieval, Isometric, Adventure, Historical, Tactical, Singleplayer, Classic, Strategy, Stealth"
46600,83,2010,"Arcade, Action, Casual, Indie"
46700,15,2009,Strategy
46710,13,2009,Strategy
46720,10,2008,"RPG, Action RPG"
46730,41,2010,"RPG, Hack and Slash, Action RPG"
46740,2947,2010,"Simulation, Sports"
46750,253,2010,"Horror, Point & Click,  Horror, Adventure, Indie"
46760,15,2011,Strategy
46770,1091,2010,"Turn-Based, Grand Strategy, Historical, Simulation, Singleplayer, Strategy, Multiplayer, I, Indie"
46790,188,2010,"Turn-Based, Space, Sci-fi, 4X, Strategy"
46830,16,2011,Strategy
46840,3,2011,Strategy
46850,61,2010,"Tower Defense, Casual,  Zombies"
47000,595,2008,"Fantasy, Casual, Singleplayer, Hidden Object, Adventure, Puzzle, Match 3"
47110,18,2007,Action
47130,7,2008,"Hidden Object, Adventure"
47400,5628,2012,"Medieval, Resource Management, Historical, Base Building, Co-op, Simulation, Singleplayer, Open World, Classic, RTS, Strategy, Multiplayer, Sandbox, Atmospheric, City Builder"
47410,97297,2012,"RPG, PvP, Medieval, Massively Multiplayer, Action, War, Free to Play,  Singleplayer, Open World, RTS, Strategy, Multiplayer, Building, MMORPG, City Builder"
47500,36,2010,"Hidden Object, Casual"
47520,12,2010,"Hidden Object, Casual"
47540,2167,2010,"RPG, Fantasy, 2D, Touch-Friendly, Casual, Singleplayer, Puzzle, Indie, Match 3"
47570,10,2011,"Hidden Object, Casual"
47700,3752,2010,"Co-op, Sci-fi, RTS, Strategy, Multiplayer"
47730,87,2010,"Medieval,  RPG,  Party-Based RPG, Character Customization, Open World, Atmospheric, Fantasy, Story Rich, Female Protagonist, Multiple Endings, Singleplayer, Choices Matter, Dark Fantasy, Third Person, Tactical, Romance, Adventure, Action"
47780,11349,2011,"Survival Horror, Horror, Multiplayer, Futuristic, Shooter,  , Survival, Atmospheric, Gore, Story Rich, Space, Singleplayer, Third Person, Co-op, Sci-fi, Third-Person Shooter, Adventure, Action, Aliens"
47790,8535,2010,"Multiplayer, Realistic, Shooter, Mature, First-Person, Open World,  Controller, Atmospheric, War, Singleplayer,  ern, Co-op, Military, FPS, Adventure, Action, Stealth"
47800,906,2011,"Strategy, Multiplayer, Singleplayer, Board Game"
47810,59580,2010,"RPG,  Mature, Party-Based RPG, Character Customization, Open World, Fantasy, Story Rich, Female Protagonist, Adventure, Multiple Endings, Singleplayer, Choices Matter, Classic, Dark Fantasy, dable, Tactical, Strategy, Action"
47870,21333,2010,"Realistic, Massively Multiplayer, Multiplayer, Funny, Remake, Online Co-Op, Racing, Great Soundtrack, Driving, Co-op, Simulation, Singleplayer, Open World, Controller, Arcade, Adventure, Action, Atmospheric"
47890,107814,2009,"Casual, Multiplayer, Building, RPG, Character Customization, Comedy, Nudity, Female Protagonist, Replay Value, Great Soundtrack, Adventure, Family Friendly, Simulation, Singleplayer, Sandbox, Funny, dable, Romance, Strategy, Action"
47920,3323,2011,"Realistic, Racing, Driving, Simulation, Multiplayer"
48000,17439,2011,"2D, Horror, Dark, Casual, Surreal,  Controller, Puzzle, Atmospheric, Difficult, Platformer, Singleplayer, Short, Minimalist, Physics, Side Scroller, Adventure, Action, Indie, Puzzle-Platformer"
48110,1360,2010,"Historical, Simulation, Singleplayer, Military, Strategy, Multiplayer,  I"
48150,11,2010,"Puzzle, Casual"
48190,39413,2011,"Medieval, Historical, Casual, Parkour, Multiplayer,  Open World, Controller,  Atmospheric,  Story Rich, Great Soundtrack, Singleplayer, Sandbox, Action-Adventure, Third Person, Adventure, Action, Stealth"
48220,25755,2011,"RPG, Fantasy, Turn-Based, Adventure, Base Building, Tactical, Singleplayer, Strategy, Multiplayer, Local Multiplayer, Turn-Based Strategy"
48700,663510,2010,"Medieval, Historical, Multiplayer, RPG, Realistic, First-Person, Open World, Fantasy, Simulation, Singleplayer, Sandbox, Third Person, dable, Strategy,  Military, Adventure, Action, Hack and Slash, Indie"
48720,46682,2011,"Medieval, Action RPG, Historical, Multiplayer, RPG, Character Customization, First-Person, Open World, War,  Simulation, Singleplayer, Sandbox, Third Person, dable, Strategy,  Adventure, Action, Indie"
48800,2412,2010,"Realistic, Simulation, Open World, Adventure, Multiplayer"
48950,1092,2010,"Multiplayer, Turn-Based,  Singleplayer, Strategy, Puzzle, Local Multiplayer, Turn-Based Strategy"
49000,20,2009,Casual
49300,280,2010,",  Choose Your Own Adventure, Historical, Adventure,  Economy, Exploration, Open World, Choices Matter, Strategy,  Cult Classic, Atmospheric"
49320,43,2010,Casual
49330,371,2011,"Singleplayer, RTS, Strategy, Action"
49470,16011,2011,"Fantasy,  Turn-Based, Strategy, Magic, Singleplayer, Card Game, Multiplayer, Board Game"
49520,1350410,2012,"Action RPG, Multiplayer,  RPG, Futuristic, Shooter, Online Co-Op, Open World, Comedy, Atmospheric, Singleplayer, Stylized, Funny, Dark Humor, Memes, Co-op, Sci-fi, FPS, Adventure, Action"
49600,9009,2010,"2D, Casual, Multiplayer, Local Co-Op, Shooter, Shoot Em Up, Arcade, Replay Value, Great Soundtrack, Space,  Bullet Hell, Singleplayer, Twin Stick Shooter, Colorful, Co-op,  Action, Indie, Music"
49800,499,2010,"Action, Indie, Steampunk"
49810,65,2011,"Puzzle, Indie, Platformer"
49900,956,2010,"Action, Multiplayer, Robots, Indie"
50000,210,2010,"Difficult, Physics, Racing, Puzzle,  Indie"
50130,48486,2011,"Multiplayer, RPG, Shooter,  Open World,  Nudity, Atmospheric, Story Rich, Great Soundtrack, Driving, Singleplayer, Classic, Sandbox, Third Person, Third-Person Shooter, Adventure, Action, Music"
50300,19941,2012,"Horror, Dark, Multiplayer, Shooter, Mature,  Atmospheric, Post-apocalyptic, Story Rich, War, Great Soundtrack,  , Singleplayer, Third Person, Co-op, Third-Person Shooter, Military, Adventure, Action"
50510,209,2010,"Action, Zombies"
50620,29773,2010,"Action RPG, RPG, 3D Platformer, Beat em up,  Open World, Controller, Puzzle, Gore, Post-apocalyptic, Fantasy, Platformer, Singleplayer, Action-Adventure, Third Person, Metroidvania, Adventure, Action, Hack and Slash"
50820,435,2010,"Family Friendly, Indie, Platformer"
50910,1,2007,"Puzzle, Casual"
50920,13,2008,"Hidden Object, Casual, Indie"
50940,4,2006,"Hidden Object, Casual"
50970,1,2007,"Hidden Object, Casual"
51010,93,2008,"Simulation, Casual"
51020,1,2009,"Casual, Match 3"
51060,32,2011,"Point & Click, Casual, Hidden Object, Adventure, Puzzle"
51100,28674,2013,"Massively Multiplayer, Casual, Multiplayer, RPG, Shooter, Free to Play, First-Person, Open World, Gore, Adventure, Simulation, Singleplayer, Sandbox, Zombies, Tactical, Co-op, FPS, Strategy, Action, Indie"
55000,321,2010,"Adventure, Tactical, Space, Sci-fi, Short, Strategy, Rogue-like, Indie"
55020,47,2010,"Casual, Education"
55040,3280,2011,"Local Co-Op, Procedural Generation, Replay Value, Zombies, dable, Great Soundtrack, Sandbox, Tactical, Tower Defense, Co-op, Singleplayer, Casual, Top-Down, Strategy, Local Multiplayer, Indie"
55100,11708,2011,"Multiplayer, Story Rich, Shooter, War, Co-op, Singleplayer, First-Person, FPS, Short, Open World, Military, Adventure, Action, Atmospheric"
55110,11798,2011,"Multiplayer, Shooter, Third Person, Horror, Adventure, Co-op, Destruction, Sci-fi, Third-Person Shooter, Singleplayer, Open World, FPS,  , Action, Aliens"
55140,12277,2010,"Action, Sports,  dable, Racing, Simulation, Singleplayer, Open World, Multiplayer"
55150,36676,2011,"Multiplayer, Futuristic,  Shooter, Online Co-Op,  Controller, Atmospheric, Gore, Story Rich, Great Soundtrack, Singleplayer, Third Person, Co-op, Third-Person Shooter, Sci-fi,  Adventure, Action, Hack and Slash"
55230,416740,2011,", Multiplayer, RPG, Shooter, Online Co-Op, Character Customization, Open World, Comedy, Female Protagonist, Great Soundtrack, Singleplayer, Sandbox, Funny, Third Person, Zombies, Co-op, Third-Person Shooter, Adventure, Action"
55370,297,2011,"Action, Free to Play"
57000,73,2010,"Action, Female Protagonist, Platformer,  Adventure, Puzzle"
57200,295,2010,"Puzzle, Casual, Singleplayer, Indie"
57300,26759,2010,"Survival Horror, Horror, Dark, Exploration,  First-Person, Lovecraftian, Puzzle, Survival, Atmospheric, Story Rich, Great Soundtrack, Singleplayer,  Horror, Classic, dable, Adventure, Action, Indie, Stealth"
57600,5073,2010,"Great Soundtrack, Economy, Simulation, Singleplayer, Comedy, Strategy, Sandbox, City Builder"
57620,1135,2010,", Resource Management, Historical, Economy, Simulation, Singleplayer, Strategy"
57640,677,2010,"Story Rich, Female Protagonist, Retro, Third Person, Mystery, Point & Click, Singleplayer, 1990s, Classic, Adventure, Puzzle, Hand-drawn, Atmospheric"
57650,1681,2011,"RPG, Strategy, Simulation, Fantasy"
57690,49350,2011,"Resource Management, RTS, Building, ,  Comedy, Atmospheric, Great Soundtrack,  Simulation, Singleplayer,  Management, Sandbox, Funny,  Economy, Strategy, City Builder"
57700,75,2011,"Action, Casual, Shoot Em Up, Indie"
57730,548,2011,"Economy, Strategy,  Simulation"
57740,5579,2012,"RPG,  Turn-Based, Remake, Tactical, Simulation, Singleplayer, Strategy, Action, Turn-Based Strategy"
57800,216,2010,"Adventure, Puzzle, Casual, Indie"
57900,11853,2011,"Multiplayer, Shooter, Mature,  First-Person, Comedy, Nudity, Gore, Atmospheric, Singleplayer, Classic,  Funny, Dark Humor, Memes, Sci-fi, FPS, Adventure, Action, Aliens"
58200,287,2010,"Touch-Friendly,  Point & Click, Family Friendly, Casual, Singleplayer, Comedy, Adventure, Indie"
58230,373,2012,"Casual, Comedy, Adventure, Puzzle, Indie"
58520,6929,2010,"Fantasy, Sports, Turn-Based, Tactical,  Singleplayer,  Strategy, Multiplayer, Turn-Based Strategy, Board Game"
58550,604,2011,"RTS, Strategy, Multiplayer, Fantasy"
58560,167,2011,"Adventure, Mystery, Point & Click"
58570,127,2011,"Funny, Mystery, Point & Click, Singleplayer, Comedy, Adventure, Puzzle"
58610,9244,2012,"Realistic, Multiplayer,  War, Tactical,  Simulation, Singleplayer, Military,  RTS, Strategy, Action,"
60340,135,2011,"Adventure, Action, Casual, Match 3"
60350,66,2011,"Adventure, Casual, Indie"
60600,71,2010,"Co-op, Action, Indie"
60700,58,2010,"Strategy, Tower Defense, Indie"
60800,318,2010,"RPG, Action RPG"
61100,391,2011,"Puzzle, Casual, Indie, Match 3"
61310,338,2011,"Puzzle, Casual, Indie"
61500,559,2010,"RPG, Fantasy, Turn-Based, Great Soundtrack, Singleplayer, Classic, 4X, Strategy, Multiplayer, Turn-Based Strategy"
61510,589,2010,"RPG, Fantasy, Turn-Based, 4X, Classic, Strategy, Turn-Based Strategy"
61520,761,2010,"RPG, Fantasy, Turn-Based, Magic, Singleplayer, 4X, Classic, Strategy, Multiplayer, Turn-Based Strategy"
61600,367,2010,"Relaxing, Casual, Singleplayer, Puzzle, Indie"
61700,1676,2011,"RPG, Fantasy, 2D, Multiplayer, Female Protagonist, Turn-Based, Adventure, Tactical, Co-op, Anime, Singleplayer, Casual, Strategy, Puzzle, Match 3"
61730,181,2012,"Local Co-Op, Multiplayer, Puzzle, Cute, Family Friendly, Casual, Action, Indie"
62000,659,2010,"Touch-Friendly, Casual, Singleplayer, Arcade, Strategy, Action, Indie"
62100,1096,2010,"Great Soundtrack, Casual,  Singleplayer, Puzzle, Indie, Music"
63000,1236,2011,"Fantasy, Multiplayer, Co-op, Arcade, Casual, Singleplayer,  Strategy, Action, Indie"
63110,96,2010,"Adventure, Detective, Mystery, Point & Click"
63200,8723,2011,"Multiplayer, Sports, Co-op, Tower Defense,  Third-Person Shooter, Comedy, Strategy, Action,  Indie"
63380,57278,2012,"Historical, Multiplayer, Shooter, Online Co-Op, Gore, War, Adventure, Simulation, Singleplayer, Third Person, Co-op, Tactical, Third-Person Shooter, FPS,  Strategy, Action, I, Stealth"
63500,1811,2010,"2D, Multiplayer, Side Scroller, Tower Defense, Casual, y, Strategy, Action, Indie"
63600,207,1993,"Story Rich, Steampunk, Surreal, Remake,  Point & Click, Exploration, Casual, First-Person, Singleplayer, Classic, Adventure, Puzzle, Atmospheric"
63610,322,1997,"Difficult, Story Rich, Steampunk,  Point & Click, Exploration, First-Person, Casual, 1990s, Classic, Adventure, Puzzle, Atmospheric"
63650,129,2004,"Exploration, Adventure, Puzzle, Casual"
63660,135,2011,"Story Rich, Steampunk, Surreal, Mystery, Point & Click, Exploration,  Casual, First-Person, 1990s, Classic, Adventure, Puzzle, Atmospheric"
63700,1643,2010,"2D, Difficult, Minimalist,  Retro, Great Soundtrack, Pixel Graphics,  Casual, Singleplayer, Arcade, Action, Indie, Music"
63710,6782,2011,"2D, Difficult, Minimalist, Platformer, Retro, Great Soundtrack,  Pixel Graphics, Side Scroller,  Singleplayer, Casual, Controller, Arcade, Action, Indie, Music"
63800,1158,2010,"RPG, Turn-Based,  Adventure, Singleplayer, Strategy, Multiplayer, Indie"
63900,230,2010,"Fantasy, Turn-Based, Singleplayer, Strategy, Turn-Based Strategy"
63910,2833,2010,"RPG, Fantasy, Female Protagonist, Turn-Based,  Adventure, Strategy, Turn-Based Strategy, Atmospheric"
63940,1214,2011,"Multiplayer, War, Historical, Tactical, Co-op, Singleplayer, RTS, Strategy, Action"
63950,1557,2011,"Simulation, I, Historical, Flight"
63960,280,2011,"RTS, Strategy"
64000,24806,2011,"Historical, RTS, Multiplayer, Realistic, Level Editor, War, Simulation, Singleplayer, dable,  Tactical, Co-op, Destruction, Military, FPS, Strategy, Action,  I"
65070,28,2013,"Simulation, Racing"
65080,34,2011,"Adventure, Sci-fi, Comedy, Point & Click"
65200,20,2010,Simulation
65270,621,2011,"Simulation, Singleplayer, Destruction"
65300,3782,2012,"2D, Local Co-Op, Difficult, Fast-Paced, Platformer,  Great Soundtrack, Side Scroller, Level Editor, 4 Player Local, Singleplayer, Local Multiplayer, Parkour, Stylized, Action,  Indie, Atmospheric"
65400,58,2010,"Retro, Remake, Board Game, Classic, 4 Player Local, Strategy, Indie"
65500,110,2004,"Adventure, Puzzle, Singleplayer, Point & Click"
65530,480,2012,"RPG, Strategy, RTS, Fantasy"
65540,704,2001,"Medieval, Action RPG, Magic,  RPG, Open World, Atmospheric, Fantasy, Difficult, Story Rich, Great Soundtrack, Singleplayer, Classic, Choices Matter, Sandbox, Dark Fantasy, Retro, Third Person, Adventure, Action"
65560,298,2011,"Shooter, Horror, Action, FPS"
65600,372,2011,"RPG, Fantasy, Third Person, Singleplayer, Open World,  Adventure, Action"
65610,93,2011,"RPG, Fantasy, Singleplayer,  Adventure"
65700,2423,2010,"Realistic, Tactical, Simulation, Military, FPS, Strategy, Action, Sandbox"
65710,23,2009,"Difficult, Story Rich,  Funny, Sexual Content, Violent, Memes, Family Friendly, Casual, Comedy, Nudity, Illuminati, Puzzle"
65720,2451,2010,"Realistic, Tactical, Simulation, Military, FPS, Open World, Strategy, Action"
65730,1137,2011,"Flight, Co-op, Simulation, Open World, TrackIR, Sandbox"
65740,1943,2012,"Remake,  Tactical, Simulation, Sci-fi, Singleplayer, Open World, FPS, RTS, Strategy, Action"
65780,562,2011,"Realistic, Multiplayer, Shooter, Tactical, Simulation, Singleplayer, Military, FPS, Open World, First-Person, Strategy, Action, Sandbox"
65790,5118,2011,"Team-Based, Multiplayer, Realistic,  Shooter, First-Person, Open World, War, Adventure, Simulation, Singleplayer, Classic, Sandbox, Third Person, dable, Tactical, Military, FPS, Strategy, Action"
65800,252612,2011,"Action RPG, Multiplayer,  Local Multiplayer, RPG, Local Co-Op, Online Co-Op,  Survival, Fantasy, Tower Defense, Singleplayer, 4 Player Local, Third Person, Co-op, Third-Person Shooter, Strategy, Action, Hack and Slash, Indie"
65930,10996,2013,"Multiplayer, Aliens, RPG,  , Shooter, Open World, Atmospheric, Story Rich, Singleplayer, Third Person, Strategy, Tactical, Co-op, Sci-fi, Third-Person Shooter, Adventure, Action, Stealth"
65980,50958,2014,"Exploration, 4X, Multiplayer, Turn-Based Strategy, Futuristic,  Atmospheric, Replay Value, Grand Strategy, Adventure, Space, Simulation, Singleplayer, dable, Strategy, Tactical, Sci-fi, Turn-Based, Action, Aliens"
67000,384,2010,"Colorful, Flight,  Great Soundtrack, Arcade,  Casual, First-Person, Singleplayer, Bullet Hell,  , Action, Indie, Music"
67370,13240,2012,"Horror, Dark, Multiplayer, Shooter, First-Person,  Nudity, Atmospheric, Gore, Story Rich, Multiple Endings, Singleplayer, Short, Funny, Violent,  Co-op, FPS, Adventure, Action"
70000,21859,2011,"Historical, Multiplayer, Shooter, First-Person, Open World, Comedy, Survival, Gore, PvP, War,  , Funny, Third Person, Co-op, Third-Person Shooter, FPS, Action, I, Indie"
70100,2576,2010,"Puzzle, Simulation, Singleplayer"
70110,1978,2010,"Simulation, Singleplayer, Indie, Puzzle"
70120,1628,2011,"Simulation,  Indie"
70200,221,2010,"Card Game, Adventure, Simulation, Casual"
70210,415,2010,"Adventure, Simulation, Casual, Card Game, Indie"
70300,4472,2010,"2D, Exploration, Casual, Open World, Puzzle, Difficult, Platformer, Great Soundtrack, Space, Singleplayer, Short, Classic, Minimalist, Retro, Pixel Graphics, Metroidvania, Sci-fi, Adventure, Action, Indie"
70400,9782,2010,"2D, Action RPG, Visual Novel, RPG,  Cute, Dungeon Crawler, Comedy, Fantasy, Female Protagonist, Simulation, Singleplayer, Management, Anime, JRPG, Strategy, Adventure, Action, Hack and Slash, Indie"
70420,706,2011,"RPG, Fantasy, Difficult, Female Protagonist, JRPG, Action RPG, Cute, Singleplayer, Adventure, Action, Indie, Anime"
70500,84,2010,"Platformer, Casual, Adventure, Action, Indie"
70600,4405,2011,"Local Co-Op, Action, Funny, Turn-Based, Third Person,  Destruction, Singleplayer, Comedy, Strategy, Multiplayer, Local Multiplayer, Turn-Based Strategy"
70620,751,2011,"2D,  Sports, Puzzle, Casual, Strategy, Multiplayer, Local Multiplayer"
70640,190,1995,"2D, Multiplayer, Retro, Turn-Based, Singleplayer, Classic, Arcade, Strategy, Action, Turn-Based Strategy"
70650,162,2002,"Arcade, Strategy, Puzzle, Casual"
70660,386,2011,"Arcade, Casual"
70900,1145,2010,"Grand Strategy, Great Soundtrack, Space, Sci-fi, 4X, RTS, Strategy, Indie"
71000,1323,2012,"Multiplayer,  Flight, Co-op, Space, Simulation, Sci-fi, Open World, TrackIR, Action, Sandbox, Indie"
71230,373,2011,"Racing, Great Soundtrack, Driving, Singleplayer, Open World, Classic, Arcade, Action"
71240,178,2011,"Simulation, Arcade, Sports"
71250,3226,2011,"1990s, Fast-Paced, 3D Platformer, Racing, Open World, Controller, Story Rich, Female Protagonist, Platformer, Replay Value, Great Soundtrack, Family Friendly, Singleplayer, Classic, Anime, Retro, Third Person, Memes, Adventure, Action"
71260,170,2011,"Female Protagonist, Great Soundtrack,  Classic, Action, Music"
71340,12928,2011,"2D, Fast-Paced,  3D Platformer, Racing,  Controller, Platformer, Replay Value, Great Soundtrack, Family Friendly, Singleplayer, Classic, Colorful, Funny, Retro, Third Person, dable, Adventure, Action"
72000,1051,2012,"2D, Platformer, Horror, Surreal, Dark,  Great Soundtrack, Singleplayer, Puzzle, Atmospheric, Indie, Puzzle-Platformer"
72200,29116,2011,"Funny,  Free to Play, Physics, Exploration, Space, Simulation, Casual, Singleplayer,  Sci-fi, Education, Destruction, Sandbox, Indie, Atmospheric"
72400,41,2010,"Strategy, Casual,  Adventure, Puzzle, Indie"
72500,50,2010,"Casual, Shoot Em Up, Indie"
72900,213,2010,"RPG, Story Rich, Female Protagonist, Isometric, Turn-Based,  Singleplayer, Adventure, Turn-Based Strategy, Indie, Atmospheric"
73010,3105,2011,"Economy, Simulation, Singleplayer, Management, Strategy, Sandbox, Trains, City Builder"
73020,2525,2011,"Fantasy, Base Building, Simulation, Singleplayer, Comedy, RTS, Strategy"
73060,173,2012,"Tower Defense, Fantasy, Strategy"
73170,4419,2011,"War,  Grand Strategy, dable, Historical, Simulation, Military,  RTS, Strategy, I"
73190,50,2011,"Replay Value, Grand Strategy, Strategy, Historical, Simulation, Singleplayer, Turn-Based, Multiplayer, Turn-Based Strategy"
73210,558,2011,"RPG,  Medieval, Grand Strategy, Historical, Simulation, Singleplayer, Strategy, Multiplayer"
73220,1233,2011,"Strategy, Grand Strategy, Historical"
78000,13634,2010,"Relaxing, Touch-Friendly, Great Soundtrack, Casual, Singleplayer, Strategy, Puzzle, Match 3"
80000,324,2011,"RTS, Strategy, Action, Indie"
80200,596,2011,"Difficult, Card Game, Turn-Based,  , Simulation, Casual, Singleplayer, Education, Strategy, Indie"
80300,180,2010,"Point & Click, Singleplayer, Robots, Adventure, Puzzle, Indie"
80310,795,2011,"2D, Futuristic, Detective,  Story Rich,  Cyberpunk, Retro, Great Soundtrack, Point & Click, Pixel Graphics, Sci-fi, Singleplayer, Adventure, Indie, Atmospheric"
80330,401,2012,"2D, Detective,  Female Protagonist, Story Rich, Retro, Third Person, Mystery, Point & Click, Pixel Graphics, Singleplayer, Short,  Adventure, Puzzle, Indie, Atmospheric"
80340,252,2012,"2D, Detective, Story Rich, Female Protagonist,  Third Person, Mystery, Point & Click, Pixel Graphics, Singleplayer,  Adventure, Indie, Atmospheric"
80350,304,2012,"2D, Detective,  Female Protagonist, Story Rich, Third Person, Mystery, Point & Click, Pixel Graphics, Singleplayer,  Adventure, Indie, Atmospheric"
80360,296,2012,"2D, Detective,  Female Protagonist, Story Rich, Third Person, Mystery, Point & Click, Pixel Graphics, Singleplayer,  Adventure, Indie, Atmospheric"
90200,2752,2010,"Simulation, Multiplayer, Open World"
90400,25,2010,"Adventure, Puzzle, Casual"
90500,241,2010,"Fantasy, Turn-Based, Strategy, Card Game, Board Game"
91100,852,2011,"Action, Flight, Racing, Controller, Multiplayer, Indie"
91200,3721,2011,"Touch-Friendly, Tower Defense, Sci-fi, Singleplayer, Top-Down, RTS, Strategy, Action, Indie, Aliens"
91330,2743,2012,"Realistic, Multiplayer, War, Historical,  Tactical, Simulation, Military, FPS, Strategy, Action, I"
91600,25688,2011,"Casual, Multiplayer, Futuristic, Shooter, Online Co-Op, First-Person, Open World, Survival, Female Protagonist, Great Soundtrack, Tower Defense, Singleplayer, Strategy, Co-op, Tactical, Sci-fi, FPS, Adventure, Action, Indie"
